wards_size_class,nrcan_vehicle_class,nlr_atb_class,nrcan_ceud_class,year,market_share,notes,source -> data_source,data_year -> dq_time
Compact,Compact,Compact,Car,2018,0.5285260414071347,Complete aggregate Wards class share; the mapping columns show aggregation from the source class through NRCan Fuel Consumption Ratings and NLR ATB to NRCan CEUD.,"Wards Intelligence. (2022). Canada Car, Light truck, and Truck Sales by Line and GWVR in 2021 and 2020--Agreggated sales shares by line and GWVR [Dataset].",2022
Compact,Compact,Compact,Car,2021,0.46584426318990657,Complete aggregate Wards class share; the mapping columns show aggregation from the source class through NRCan Fuel Consumption Ratings and NLR ATB to NRCan CEUD.,"Wards Intelligence. (2022). Canada Car, Light truck, and Truck Sales by Line and GWVR in 2021 and 2020--Agreggated sales shares by line and GWVR [Dataset].",2022
Full-size,Full-size,Midsize,Car,2018,0.08061315137883455,Complete aggregate Wards class share; the mapping columns show aggregation from the source class through NRCan Fuel Consumption Ratings and NLR ATB to NRCan CEUD.,"Wards Intelligence. (2022). Canada Car, Light truck, and Truck Sales by Line and GWVR in 2021 and 2020--Agreggated sales shares by line and GWVR [Dataset].",2022
Full-size,Full-size,Midsize,Car,2021,0.06574133279268882,Complete aggregate Wards class share; the mapping columns show aggregation from the source class through NRCan Fuel Consumption Ratings and NLR ATB to NRCan CEUD.,"Wards Intelligence. (2022). Canada Car, Light truck, and Truck Sales by Line and GWVR in 2021 and 2020--Agreggated sales shares by line and GWVR [Dataset].",2022
Mid-size,Mid-size,Midsize,Car,2018,0.2771501279260177,Complete aggregate Wards class share; the mapping columns show aggregation from the source class through NRCan Fuel Consumption Ratings and NLR ATB to NRCan CEUD.,"Wards Intelligence. (2022). Canada Car, Light truck, and Truck Sales by Line and GWVR in 2021 and 2020--Agreggated sales shares by line and GWVR [Dataset].",2022
Mid-size,Mid-size,Midsize,Car,2021,0.3487531385973394,Complete aggregate Wards class share; the mapping columns show aggregation from the source class through NRCan Fuel Consumption Ratings and NLR ATB to NRCan CEUD.,"Wards Intelligence. (2022). Canada Car, Light truck, and Truck Sales by Line and GWVR in 2021 and 2020--Agreggated sales shares by line and GWVR [Dataset].",2022
Minicompact,Minicompact,Compact,Car,2018,0.004385053017559113,Complete aggregate Wards class share; the mapping columns show aggregation from the source class through NRCan Fuel Consumption Ratings and NLR ATB to NRCan CEUD.,"Wards Intelligence. (2022). Canada Car, Light truck, and Truck Sales by Line and GWVR in 2021 and 2020--Agreggated sales shares by line and GWVR [Dataset].",2022
Minicompact,Minicompact,Compact,Car,2021,0.005857675332574351,Complete aggregate Wards class share; the mapping columns show aggregation from the source class through NRCan Fuel Consumption Ratings and NLR ATB to NRCan CEUD.,"Wards Intelligence. (2022). Canada Car, Light truck, and Truck Sales by Line and GWVR in 2021 and 2020--Agreggated sales shares by line and GWVR [Dataset].",2022
Station wagon: Small,Station wagon: Small,Midsize,Car,2018,0.02548382496215486,Complete aggregate Wards class share; the mapping columns show aggregation from the source class through NRCan Fuel Consumption Ratings and NLR ATB to NRCan CEUD.,"Wards Intelligence. (2022). Canada Car, Light truck, and Truck Sales by Line and GWVR in 2021 and 2020--Agreggated sales shares by line and GWVR [Dataset].",2022
Station wagon: Small,Station wagon: Small,Midsize,Car,2021,0.02405140281654996,Complete aggregate Wards class share; the mapping columns show aggregation from the source class through NRCan Fuel Consumption Ratings and NLR ATB to NRCan CEUD.,"Wards Intelligence. (2022). Canada Car, Light truck, and Truck Sales by Line and GWVR in 2021 and 2020--Agreggated sales shares by line and GWVR [Dataset].",2022
Subcompact,Subcompact,Compact,Car,2018,0.07417990745338733,Complete aggregate Wards class share; the mapping columns show aggregation from the source class through NRCan Fuel Consumption Ratings and NLR ATB to NRCan CEUD.,"Wards Intelligence. (2022). Canada Car, Light truck, and Truck Sales by Line and GWVR in 2021 and 2020--Agreggated sales shares by line and GWVR [Dataset].",2022
Subcompact,Subcompact,Compact,Car,2021,0.0733020383337752,Complete aggregate Wards class share; the mapping columns show aggregation from the source class through NRCan Fuel Consumption Ratings and NLR ATB to NRCan CEUD.,"Wards Intelligence. (2022). Canada Car, Light truck, and Truck Sales by Line and GWVR in 2021 and 2020--Agreggated sales shares by line and GWVR [Dataset].",2022
Two-seater,Two-seater,Midsize,Car,2018,0.009661893854911792,Complete aggregate Wards class share; the mapping columns show aggregation from the source class through NRCan Fuel Consumption Ratings and NLR ATB to NRCan CEUD.,"Wards Intelligence. (2022). Canada Car, Light truck, and Truck Sales by Line and GWVR in 2021 and 2020--Agreggated sales shares by line and GWVR [Dataset].",2022
Two-seater,Two-seater,Midsize,Car,2021,0.016450148937165673,Complete aggregate Wards class share; the mapping columns show aggregation from the source class through NRCan Fuel Consumption Ratings and NLR ATB to NRCan CEUD.,"Wards Intelligence. (2022). Canada Car, Light truck, and Truck Sales by Line and GWVR in 2021 and 2020--Agreggated sales shares by line and GWVR [Dataset].",2022
Minivan,Minivan,Midsize SUV,Light Truck,2018,0.050561290152753166,Complete aggregate Wards class share; the mapping columns show aggregation from the source class through NRCan Fuel Consumption Ratings and NLR ATB to NRCan CEUD.,"Wards Intelligence. (2022). Canada Car, Light truck, and Truck Sales by Line and GWVR in 2021 and 2020--Agreggated sales shares by line and GWVR [Dataset].",2022
Minivan,Minivan,Midsize SUV,Light Truck,2021,0.02506757099051473,Complete aggregate Wards class share; the mapping columns show aggregation from the source class through NRCan Fuel Consumption Ratings and NLR ATB to NRCan CEUD.,"Wards Intelligence. (2022). Canada Car, Light truck, and Truck Sales by Line and GWVR in 2021 and 2020--Agreggated sales shares by line and GWVR [Dataset].",2022
